"filename","caption"
"000059.jpg","Tall, multi-tiered cake with elegant black and white patterns."
"000060.jpg","Grilled sandwich with fried egg and a side salad."
"000061.jpg","Finely chopped red meat topped with fresh green arugula."
"000062.jpg","Sweet pastry, fresh strawberries, and caramel drizzle on a plate."
"000063.jpg","Crisp green lettuce, golden croutons, and shredded cheese."
"000064.jpg","Falafel balls, pita bread, sliced tomatoes, and pickles."
"000065.jpg","Chopped meat mound served with toasted baguette slices."
"000066.jpg","Savory chopped meat, fresh green salad, and toasted bread."
"000067.jpg","Cheese board with nuts, bread, apple, and spreads."
"000068.jpg","Fried rice with eggs, vegetables, and cucumber slices."
"000069.jpg","Pork chops with fried rice, egg, and dipping sauce."
"000070.jpg","Golden French toast pieces with powdered sugar and ketchup."
"000071.jpg","White fish ceviche with red onions and green olives."
"000072.jpg","Crispy falafel with creamy white sauce, showing inside."
"000073.jpg","Crispy cutlet, rich sauce, and fresh shredded cabbage."
"000074.jpg","Hearty soup with melted cheese and toasted bread."
"000075.jpg","Spicy red curry with tender shredded meat and rice."
"000076.jpg","Iced coffee with foam and chocolate drizzle."
"000077.jpg","Crispy pan-fried dumplings with a savory dipping sauce."
"000078.jpg","Rich, cheesy soup topped with fresh green herbs."
"000079.jpg","Golden fried fish with fries, coleslaw, and lemon."
"000080.jpg","Various Japanese dishes including fish, egg, and vegetables."
"000081.jpg","Snails baked in garlic herb butter sauce."
"000082.jpg","Vibrant mixed green salad with croutons and almonds."
"000083.jpg","Meat carpaccio with fresh greens, mushrooms, and lemon."
"000084.jpg","Bright seafood ceviche with shrimp, vegetables, and avocado."
"000085.jpg","Saucy chicken wings with crispy potato wedges."
"000086.jpg","Flavorful fried rice with shrimp and mixed vegetables."
"000087.jpg","Fresh Caesar salad with croutons and grated cheese."
"000088.jpg","Clear broth soup with noodles, bamboo shoots, scallions."
"000089.jpg","Decadent cake with ice cream, pecans, and caramel sauce."
"000090.jpg","Hearty pita bread sandwich with mixed savory fillings."
"000091.jpg","Crispy pan-fried dumplings arranged on a black serving platter."
"000092.jpg","Rich brownie topped with powdered sugar and caramelized fruit."
"000093.jpg","Assorted cheeses, jams, and nuts with toasted bread slices."
"000094.jpg","Seasoned french fries filling a brown paper bag."
"000095.jpg","Plates of nachos and quesadillas with fresh toppings."
"000096.jpg","Open-faced cheeseburger with crisp lettuce, tomato, and fries."
"000097.jpg","Colorful rice with shrimp, green beans, and mixed vegetables."
"000098.jpg","Rich chocolate dessert with whipped cream and cocoa dusting."
"000099.jpg","Golden fried fish, crispy fries, coleslaw, and lemon."
"000100.jpg","Pad Thai with chicken, bean sprouts, peanuts, and lime."
"000101.jpg","Sunny-side up eggs on toast with fresh green salad."
"000102.jpg","Assorted cheeses, fresh apples, walnuts, and green salad."
"000103.jpg","Crispy fried fish, golden fries, and creamy coleslaw."
"000104.jpg","Grilled chicken salad, dips, and a golden fried pastry."
"000105.jpg","Sweet cannoli filled with cream and dusted with powdered sugar."
"000106.jpg","Glossy glazed chicken wings topped with fresh parsley."
"000107.jpg","Savory fried rice with egg, ham, and vibrant vegetables."
"000108.jpg","Glazed ribs with roasted greens on an artistic plate."
"000109.jpg","Wine bottle with clear label, partially lit."
"000110.jpg","Golden churros with sugar coating and creamy dipping sauce."
"000111.jpg","Fresh seafood ceviche with red onion and crisp lettuce."
"000112.jpg","Thinly sliced meat with arugula, balsamic glaze drizzle."
"000113.jpg","Vibrant watermelon slices topped with herbs and fried shallots."
"000114.jpg","Savory fried rice with chopped meat and green onions."
"000115.jpg","Grilled meat with rosemary, roasted potatoes and carrots."
"000116.jpg","Assortment of bread and various cheeses on a plate."
"000117.jpg","Dark cake slice topped with whipped cream and fresh strawberry."
"000118.jpg","Toasted bread triangles surrounding a feta cheese and salsa mix."
"000119.jpg","Elegant cheese platter with assorted cheeses, greens, and crackers."
"000120.jpg","Thinly sliced meat arranged with arugula and parmesan cheese."
"000121.jpg","Seafood and avocado mix on a tortilla."
"000122.jpg","Green dip with garnish on a white plate."
"000123.jpg","Dessert slice with whipped cream and green sauce."
"000124.jpg","Fried fish and potato wedges with coleslaw."
"000125.jpg","Pan-fried dumplings with a dark dipping sauce."
"000126.jpg","Assortment of colorful nigiri sushi on a plate."
"000127.jpg","Cheesy burrito with green sauce and crispy fried potatoes."
"000128.jpg","Golden spring rolls with sweet chili sauce and orchid garnish."
"000129.jpg","Sliced rolled omelet with vegetables, pickled ginger."
"000130.jpg","Crispy fish and golden fries served in a bucket."
"000131.jpg","Glazed chicken wings, wavy chips, and creamy dip."
"000132.jpg","Crispy fried pieces on a vibrant salad with lemon."
"000133.jpg","Thinly sliced meat with fresh arugula, croutons and balsamic glaze."
"000134.jpg","Dome-shaped fried rice with herbs on a white plate."
"000135.jpg","Glazed ribs garnished with basil, served with dipping sauce."
"000136.jpg","Abundant yellow fried rice with peas and seafood."
"000137.jpg","Sliced red meat with white sauce drizzle and roasted tomato."
"000138.jpg","Assorted desserts including creme brulee and a layered parfait."
"000139.jpg","Glazed French toast with grapes and syrup."
"000140.jpg","Powdered sugar-dusted cannoli on a light plate."
"000141.jpg","Rich chocolate dessert in an orange ramekin."
"000142.jpg","Colorful fried rice with shrimp and crispy toppings."
"000143.jpg","White rice with zucchini, squash, and scrambled egg."
"000144.jpg","Golden fried fish fillet with fries and lemon."
"000145.jpg","Fresh tartare, vibrant salad, and crisp toast."
"000146.jpg","Glazed chicken wings with green onion and sesame."
"000147.jpg","Cheeseburger with fries, fresh lettuce, tomato, and onion."
"000148.jpg","Classic escargots served in shells with green sauce."
"000149.jpg","Fresh ceviche tostada topped with avocado and lemon."
"000150.jpg","Loaded nachos with cheese, salsa, guacamole, and sour cream."
"000151.jpg","Crispy dumplings, dark dipping sauce, and fresh salad."
"000152.jpg","Warm bread pudding with sweet caramel sauce."
"000153.jpg","Hearty burger with bacon, tomato, and a pickle."
"000154.jpg","Rich chocolate cake with whipped cream, chocolate shavings."
"000155.jpg","Savory rice dish with mixed ingredients and fresh herb."
"000156.jpg","Pan-seared cakes on fresh salad with a creamy drizzle."
"000157.jpg","Fried rice with mixed vegetables and mushrooms."
"000158.jpg","Fried rice topped with corn, eggs, and green onions."
"000159.jpg","Paella with mussels, chicken, rice, and fresh cilantro."
"000160.jpg","Curry and rice dish with a side salad."
"000161.jpg","Sandwich with creamy sauce, fried egg, and french fries."
"000162.jpg","Tray of golden, flaky baklava squares with syrup."
"000163.jpg","Grilled wrap with visible filling, served on paper."
"000164.jpg","Golden, thick-cut french fries in a white bowl."
"000165.jpg","Thinly sliced meat with greens, capers, sauce, and toast."
"000166.jpg","Grilled meat, baked beans, and fresh green salad."
"000167.jpg","Round dessert with orange glaze, almond slices, and berries."
"000168.jpg","Pan-fried dumplings with crispy, golden-brown bottoms."
"000169.jpg","Two eggs benedict, golden fries, and ketchup."
"000170.jpg","Colorful fried rice with egg, peas, and carrots."
"000171.jpg","Glazed ribs, crispy onion rings, garlic bread, coleslaw."
"000172.jpg","Golden-brown cheese topping a hot bowl of soup."
"000173.jpg","Soba noodles served on bamboo mats with garnish."
"000174.jpg","Roasted meat, mashed potatoes, and dark green vegetables."
"000175.jpg","Vibrant green dish with fish, red roe, avocado, chips."
"000176.jpg","Assorted quesadillas with melted cheese, salsa, and lemon."
"000177.jpg","Crispy fish sticks, golden fries, and fresh coleslaw."
"000178.jpg","Hearty fried rice with peas, carrots, and scallions."
"000179.jpg","White birthday cake with cherries and purple icing."
"000180.jpg","Savory fried rice topped with omelet and scallions."
"000181.jpg","Golden baked pastry crust covers a bowl of soup."
"000182.jpg","Intricate dessert with fruit, pastry, and colorful sauces."
"000183.jpg","Glazed ribs with diced carrots and a side of rice."
"000184.jpg","Cannoli with chocolate drizzle and a fresh berry salad."
"000185.jpg","Eggs Benedict with crispy hash browns and pancakes."
"000186.jpg","Fried food with coleslaw and a side of dipping sauce."
"000187.jpg","Two dark waffles with syrup and powdered sugar."
"000188.jpg","Green salad with croutons and grated cheese."
"000189.jpg","Caramelized creme brulee with a mint garnish."
"000190.jpg","Seared meat in yellow sauce, topped with almonds."
"000191.jpg","Snails in shells baked in a vibrant green sauce."
"000192.jpg","Diced seafood and vegetables in a clear glass bowl."
"000193.jpg","Vibrant yellow pumpkin soup with fresh pumpkin slices."
"000194.jpg","Elegantly plated dish with a crisp rose garnish."
"000195.jpg","Crispy glazed chicken wings with chili and sesame."
"000196.jpg","Huge pan of colorful seafood and vegetable paella."
"000197.jpg","Rich paella dish with mussels, seafood, and vegetables."
"000198.jpg","Pate with toasted bread, fresh arugula, and sauce."
"000199.jpg","Classic Eggs Benedict, roasted potatoes, and fresh asparagus spears."
"000200.jpg","Golden brown quesadilla with a side of creamy white sauce."
"000201.jpg","Crispy fried cakes with sauces, lemon, and fresh greens."
"000202.jpg","Perfectly golden brown waffle with deep, crisp pockets."
"000203.jpg","Thinly sliced meat, creamy sauce, fresh greens, and cheese."
"000204.jpg","Sweet cannoli with creamy yellow filling, powdered sugar."
"000205.jpg","Slices of duck with rich sauce and a crisp cucumber."
"000206.jpg","Chocolate mousse with decorative red heart topping in ramekins."
"000207.jpg","Elaborate multi-tiered white cake with intricate floral patterns."
"000208.jpg","Creamy cheesecake slice garnished with fresh, dark, and red berries."
"000209.jpg","Three savory egg rolls with visible filling, standing upright."
"000210.jpg","Glazed fruit pastry with sliced apples on golden crust."
"000211.jpg","A hearty burrito filled with scrambled eggs and meat."
"000212.jpg","Crispy glazed fried chicken pieces on a red tray."
"000213.jpg","Seafood paella with reddish rice on a white plate."
"000214.jpg","Grilled salmon with tomato sauce, potatoes, and vegetables."
"000215.jpg","Glazed BBQ ribs with a side of curly fries."
"000216.jpg","Loaded salad with fresh greens, avocado, and jalapeños."
"000217.jpg","Burger with oat bun, fresh tomatoes, and golden fries."
"000218.jpg","Fresh spring rolls, served with peanut dipping sauce."
"000219.jpg","Savory stir-fried noodles with chicken and colorful shredded vegetables."
"000220.jpg","Elegantly plated seared foie gras on rice with rich sauce."
"000221.jpg","Hearty beef curry served alongside fluffy white rice."
"000222.jpg","Fresh green salad with carved and sun-dried tomatoes."
"000223.jpg","Plump mussels in creamy sauce, served with toasted bread."
"000224.jpg","Golden eggs benedict with hollandaise sauce and fresh greens."
"000225.jpg","Pink cheesecake slice with vibrant berry sauce and chocolate drizzle."
"000226.jpg","Classic eggs benedict, golden sauce, crispy potatoes, outdoor setting."
"000227.jpg","Elegant layered chocolate cake, topped with a delicate gold leaf."
"000228.jpg","Flaky pastry, revealing sweet, shredded coconut filling inside."
"000229.jpg","Plate with mashed potatoes, greens, and brown bread slices."
"000230.jpg","Multi-layered red velvet cake with creamy white filling."
"000231.jpg","Assorted sushi rolls with kiwi, soy sauce, and wasabi."
"000232.jpg","Seared steak with sauce, mashed potatoes, and creamed spinach."
"000233.jpg","Chocolate dessert with candle, berries, and artistic sauces."
"000234.jpg","Crispy samosas with fresh shredded carrots and dipping sauce."
"000235.jpg","Layered dessert, creamy white, brown, dusted cocoa powder."
"000236.jpg","Colorful nachos with melted cheese, black olives, mushrooms."
"000237.jpg","Thinly sliced red meat, capers, parsley, small dressing cup."
"000238.jpg","French fries covered in rich gravy and shredded dark meat."
"000239.jpg","Bread pudding squares, caramel sauce, white cream dollop."
"000240.jpg","Round pizza with red sauce, melted cheese, fresh basil."
"000241.jpg","Steak tartare, golden fries, and fresh green salad."
"000242.jpg","Restaurant setting, no specific dish visible."
"000243.jpg","Two cheesy burgers with sesame buns and fries."
"000244.jpg","Ramen noodles with pork, seaweed, and sesame seeds."
"000245.jpg","Small dessert on white plate, elegant presentation."
"000246.jpg","Crab or prawns in dark sauce with fresh herbs."
"000247.jpg","Rich chocolate parfait, topped with whipped cream and wafer."
"000248.jpg","Hearty soup with melted cheese, garnished with parsley."
"000249.jpg","Grilled sliced meat with dark sauce, fresh chili."
"000250.jpg","Savory ribs with loaded baked potato and chives."
"000251.jpg","Succulent shrimp on fried bread with green chili."
"000252.jpg","Fresh green salad with radishes, nuts, and glaze."
"000253.jpg","Thinly sliced meat, white sauce, greens, and crispy chips."
"000254.jpg","Golden fries topped with cheese curds and rich gravy."
"000255.jpg","Crispy samosas with vibrant green chutney and fresh salad."
"000256.jpg","Spaghetti with rich meat sauce, tomato, and fresh sprouts."
"000257.jpg","Layered cake with cream, chocolate drizzle, and pistachio garnish."
"000258.jpg","Grilled salmon fillet served with potatoes and green broccoli."
"000259.jpg","Steak tartare with egg yolk, crispy chips, and salad."
"000260.jpg","Tiramisu slice with whipped cream and chocolate syrup."
"000261.jpg","Waffle, crispy bacon, and fresh colorful fruit platter."
"000262.jpg","Tiramisu slice generously dusted with cocoa and chocolate drizzle."
"000263.jpg","Platter with ribs, golden fries, coleslaw, and fresh salad."
"000264.jpg","Hearty breakfast burrito, filled with eggs, meat, and cheese."
"000265.jpg","A festive feast with roasted vegetables and various dishes."
"000266.jpg","Rich chocolate cake slice with strawberry and white chocolate."
"000267.jpg","Chocolate mousse in a glass, topped with a fresh strawberry."
"000268.jpg","Decadent chocolate cake slice with dark chocolate drizzle."
"000269.jpg","Assorted sushi and sashimi platter with fresh seafood."
"000270.jpg","Crispy baked chicken wings in a white takeout container."
"000271.jpg","Assortment of colorful macarons served with tea."
"000272.jpg","Crispy chicken wings wrapped in foil with dipping sauce."
"000273.jpg","Fluffy omelet on fried rice, classic omurice."
"000274.jpg","Towering layered cake with frosting and a candle."
"000275.jpg","Golden fries topped with gravy and cheese curds."
"000276.jpg","Fresh steak tartare with egg yolk and various garnishes."
"000277.jpg","Loaded nachos with salsa, guacamole, sour cream, and jalapeños."
"000278.jpg","Elegant carpaccio with greens, avocado, fried bites, mustard drizzle."
"000279.jpg","Rich ramen with pork, soft-boiled egg, and nori."
"000280.jpg","Assortment of vibrant sushi rolls and salmon nigiri."
"000281.jpg","Waffle with vanilla ice cream, caramel, and almond flakes."
"000282.jpg","Hearty ramen soup with pork, seaweed, and a blue spoon."
"000283.jpg","Layered tiramisu dessert with cocoa powder."
"000284.jpg","Golden pastry slice with honey drizzle and cinnamon dust."
"000285.jpg","Two golden, fluffy waffles in paper wrappers."
"000286.jpg","Fresh green salad with crispy croutons and cheese."
"000287.jpg","A box of colorful stacked macarons."
"000288.jpg","Hearty meal with meat, rice, potatoes, and macaroni."
"000289.jpg","Creamy penne pasta in a white bowl."
"000290.jpg","Grilled chicken, fresh salad, and toasted bread."
"000291.jpg","Hearty burger with sesame bun and potato wedges."
"000292.jpg","Fresh oysters on ice with red dipping sauce."
"000293.jpg","Strawberry cheesecake, vanilla ice cream, and berry drizzle."
"000294.jpg","Individual cakes topped with strawberries and whipped cream."
"000295.jpg","Creamy ramen with pork, egg, and vibrant green vegetables."
"000296.jpg","Baked casserole topped with melted cheese, tomatoes, and herbs."
"000297.jpg","Elegant chocolate mousse dessert with whipped cream and mint."
"000298.jpg","Golden fried pastries heavily dusted with powdered sugar."
"000299.jpg","Grilled salmon fillet with roasted potatoes, salad, and sauce."
"000300.jpg","Plates of saucy and crispy chicken wings with vegetables."
"000301.jpg","Classic burger with fries and fresh lettuce."
"000302.jpg","Cheeseburger with melted cheese, fresh veggies, and fries."
"000303.jpg","Rich hot and sour soup with various ingredients."
"000304.jpg","Apple crumble pie slice with a dollop of whipped cream."
"000305.jpg","Chocolate lava cake with melting vanilla ice cream."
"000306.jpg","Golden waffle topped with ice cream and chocolate sauce."
"000307.jpg","Sweet dessert slice with ice cream, powdered sugar."
"000308.jpg","Grilled panini sandwich with grapes and olives."
"000309.jpg","Creamy grits topped with shrimp and rich sauce."
"000310.jpg","Salmon fillet with brown rice, greens, and lemon."
"000311.jpg","Warm pastries and tea served on a table."
"000312.jpg","Assortment of colorful sushi rolls on white plates."
"000313.jpg","Creamy miso soup with sliced green onions."
"000314.jpg","Fresh green salad with quail eggs and savory toppings."
"000315.jpg","Golden, flaky layered dessert with a nutty filling."
"000316.jpg","Plated steak with sauce and fries with assorted toppings."
"000317.jpg","Apple crumble pie with vanilla ice cream and caramel drizzle."
"000318.jpg","Sliced beef carpaccio with greens, cheese, and a lime."
"000319.jpg","Golden pies, one with lattice, one with heart cutouts."
"000320.jpg","Nachos with melted cheese, olives, jalapenos, tomatoes, and salsa."
"000321.jpg","Abundant buffet of cheeses, meats, salads, and fresh fruits."
"000322.jpg","Delicate slices of ham with berries and vibrant fruit."
"000323.jpg","Crispy spring rolls on banana leaf with dipping sauce."
"000324.jpg","Steak, large shrimp, and scallops with asparagus side."
"000325.jpg","Fresh Caesar salad with croutons, cheese, and lemon."
"000326.jpg","Golden-fried samosas served with two flavorful dipping sauces."
"000327.jpg","Fried fish, crispy fries, ketchup, and a fresh burger bun."
"000328.jpg","Toasted grilled cheese sandwich, golden fries, and ketchup."
"000329.jpg","A generous serving of crispy golden french fries."
"000330.jpg","A variety of savory dishes on a wooden table."
"000331.jpg","Rich chocolate cake slice with glossy frosting."
"000332.jpg","Layered chocolate mousse cake with cocoa powder dust."
"000333.jpg","Tall whipped cream dessert with fresh strawberries and sauce."
"000334.jpg","Strawberry shortcake with cream and sweet red sauce."
"000335.jpg","Warm miso soup with green onions and seaweed."
"000336.jpg","Cheesy burritos with rice, beans, and fresh topping."
"000337.jpg","Crispy fried fish, golden chips, lemon, and creamy sauce."
"000338.jpg","Clear soup with dill, served with three golden buns."
"000339.jpg","Various dishes including baked potatoes, meat, and salads."
"000340.jpg","Seared steak, roasted vine tomatoes, and fresh microgreens."
"000341.jpg","Spaghetti with tomato sauce, grated cheese, and crusty bread."
"000342.jpg","Golden spring rolls with sesame seed dipping sauce."
"000343.jpg","Juicy glazed ribs with crispy fries and creamy coleslaw."
"000344.jpg","Assorted colorful macarons with creamy fillings in a box."
"000345.jpg","Rich chocolate cake and golden, syrupy baklava pastries."
"000346.jpg","Golden-crusted pie topped with a generous scoop of ice cream."
"000347.jpg","Flavorful fried rice with tender meat and green peas."
"000348.jpg","White cheese served with dried fruits and crunchy walnuts."
"000349.jpg","Creamy dish with melted cheese and fresh green salad."
"000350.jpg","Assortment of colorful grilled skewers, including meat and vegetables."
"000351.jpg","Layered cake with cream and fresh strawberry slices."
"000352.jpg","Golden waffles, toast, bacon, and a side of fruit."
"000353.jpg","Colorful assortment of fresh sushi and nigiri on a plate."
"000354.jpg","Baked dish topped with melted cheese and diced tomatoes."
"000355.jpg","Fluffy omelet and grilled toast on a white plate."
"000356.jpg","Hot pots with food and ingredients on a table."
"000357.jpg","Chocolate cake, ice cream, strawberries, and chocolate drizzle."
"000358.jpg","Red velvet cake with white frosting, powdered sugar, mint."
"000359.jpg","Seasoned fillet with crispy golden potato wedges."
"000360.jpg","Waffle with chocolate, vanilla ice cream, and fresh strawberries."
"000361.jpg","Fresh green salad with cheese and crispy croutons."
"000362.jpg","Abundant nachos with melted cheese, fresh toppings, sour cream."
"000363.jpg","Classic burgers with fries in cups, ready to eat."
"000364.jpg","Colorful bibimbap bowl with egg, meat, and fresh vegetables."
"000365.jpg","Hearty ramen bowl overflowing with bean sprouts."
"000366.jpg","Vibrant red cake with layers of smooth white frosting."
"000367.jpg","A white macaron with a creamy filling."
"000368.jpg","Grilled wrap, egg, meat, avocado, orange slices."
"000369.jpg","Savory biscuits with a light sauce and cream."
"000370.jpg","Crispy fried calamari, lemon, and dipping sauce."
"000371.jpg","Dessert topped with ice cream and caramel drizzle."
"000372.jpg","Ribs, fries, salad, and tiered small plates."
"000373.jpg","Crispy battered fish, golden chips, and green dip."
"000374.jpg","Creamy pasta, assorted appetizers, and a slice of cake."
"000375.jpg","Crispy spring rolls with fresh cilantro and sweet chili sauce."
"000376.jpg","Plump, seasoned shrimp on creamy grits."
"000377.jpg","Golden waffles, ice cream, fresh fruit, and sweet sauces."
"000378.jpg","Green Caesar salad with crispy croutons and bacon."
"000379.jpg","Chocolate dessert with fresh berries, sauce, and delicate physalis garnish."
"000380.jpg","Grilled steak topped with an orange garnish and herbs."
"000381.jpg","Fresh green salad with seafood, lime, capers, and tomato."
"000382.jpg","Barbecue ribs with golden fries, coleslaw, and onion rings."
"000383.jpg","Crispy french fries generously covered in a rich brown gravy."
"000384.jpg","Poutine with fries, shredded meat, gravy, and cheese curds."
"000385.jpg","Ramen bowl with pork, egg, seaweed, and fish cake."
"000386.jpg","Shrimp and grits with a side biscuit and jam."
"000387.jpg","Waffles topped with whipped cream, berries, and syrup."
"000388.jpg","Hand holding a small, round yellow fruit."
"000389.jpg","Crispy fries in a basket with yellow dipping sauce."
"000390.jpg","Fries and ketchup on a tray, ready to eat."
"000391.jpg","Crispy fried calamari with vibrant red dipping sauce."
"000392.jpg","Golden baked macaroni and cheese in a white bowl."
"000393.jpg","Fresh mixed salad with colorful vegetables and creamy dressing."
"000394.jpg","Hearty patty with rich sauce, alongside a cheesy pizza."
"000395.jpg","Tender braised chicken leg in a flavorful brown sauce."
"000396.jpg","Small side dishes and bread on a patterned plate."
"000397.jpg","Burger with grated cheese, fries, peppers, and dipping sauces."
"000398.jpg","Rustic apple pie slice with crumble topping, next to coffee."
"000399.jpg","Crispy fried calamari rings with fresh lemon wedges."
"000400.jpg","Two pizza slices: pepperoni with olives, and ham."
"000401.jpg","Golden fried samosas served with a small side salad."
"000402.jpg","Spaghetti bolognese topped with rich meat sauce and cheese."
"000403.jpg","Thick French toast, powdered sugar, vanilla ice cream."
"000404.jpg","Red tartare surrounded by toasted bread slices."
"000405.jpg","Loaded nachos with cheese, lettuce, olives, and salsa."
"000406.jpg","Dessert square with dark berry sauce and custard."
"000407.jpg","Golden waffles, powdered sugar, crisp bacon, eggs."
"000408.jpg","Tiramisu cup, ladyfinger, whipped cream, mint garnish."
"000409.jpg","Crispy chicken wings with sauce and pickled vegetables."
"000410.jpg","Golden french fries in a paper takeout container."
"000411.jpg","Melted cheese nachos with a side of white dip."
"000412.jpg","Crispy fried fish fingers, fries, and dipping sauces."
"000413.jpg","Tiramisu slice dusted with cocoa powder and mint."
"000414.jpg","BBQ ribs with loaded baked potato, two scoops."
"000415.jpg","Grilled steak, roasted potatoes, and a tomato garnish."
"000416.jpg","Red carpaccio garnished with cheese, pickles, and endive leaves."
"000417.jpg","Red dish with green salad and toasted bread."
"000418.jpg","Layered club sandwich with fresh ingredients and a flag pick."
"000419.jpg","Crispy samosas with potato filling and dipping sauces."
"000420.jpg","Shrimp and sausage in a rich dark gravy, garnished."
"000421.jpg","Decadent cake slice with whipped cream, fruit, and berry sauce."
"000422.jpg","Spicy boneless wings with celery and creamy dipping sauce."
"000423.jpg","Chicken with creamy sauce, mashed potatoes, broccoli, and mushrooms."
"000424.jpg","Fresh strawberries generously topped with fluffy whipped cream."
"000425.jpg","Juicy burger patty with melted cheese, fresh lettuce, and tomato."
"000426.jpg","Savory pizza with green topping and fresh herbs."
"000427.jpg","Refreshing red drink with fruit and ice."
"000428.jpg","Fresh salad with beets, cheese, and pecans."
"000429.jpg","Round dishes with green and brown sauces."
"000430.jpg","Crispy pastry with sweet white cream filling."
"000431.jpg","Brown soup in a black bowl with chopsticks."
"000432.jpg","Grilled ribs, toast, and green beans."
"000433.jpg","Fluffy omelette with green herbs on a floral plate."
"000434.jpg","Large, cheesy pizza with tomato sauce and basil."
"000435.jpg","Rich chocolate cake with elegant layered frosting."
"000436.jpg","Golden quesadilla served with fresh salad and sour cream."
"000437.jpg","Small red cake with white frosting being decorated."
"000438.jpg","Tall red velvet cake slice with a scoop of ice cream."
"000439.jpg","Moist red velvet cake with creamy white frosting and red crumbs."
"000440.jpg","Hearty breakfast burrito filled with eggs, meat, and potatoes."
"000441.jpg","Rich poutine with fries, gravy, cheese, and truffle shavings."
"000442.jpg","Spicy buffalo wings with celery sticks and creamy dipping sauce."
"000443.jpg","Elegant dish with thinly sliced meat, greens, egg, and fruit."
"000444.jpg","Golden triangular pastries with a glossy, sweet syrup glaze."
"000445.jpg","Golden layered baklava pastries in a clear tray."
"000446.jpg","Cake with cream, strawberries, and red sauce."
"000447.jpg","Fried rice topped with fresh bean sprouts and green onions."
"000448.jpg","Crunchy nachos with melted cheese, jalapenos, and salsa."
"000449.jpg","Crispy fried triangular pastries with cilantro and dipping sauce."
