filename,caption,predicted_caption
000080.jpg,"Crispy, flaky baklava pastry with rich nutty layers.","sweet cannoli with cream, chocolate chips, and powdered sugar."
000081.jpg,"Two glistening baklava pastries, one with pistachio topping.","grilled steak, golden fries, and ketchup. fries."
000082.jpg,Golden fried samosas served with two vibrant chutneys.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000083.jpg,"Assorted cheese pieces, including blue cheese.","grilled ribs, crispy fries, coleslaw, and a side of salsa."
000084.jpg,Golden-brown melted cheese topping a hearty bowl.,"sweet cannoli with cream, powdered sugar, powdered sugar.."
000085.jpg,Golden brown french toast with melted butter.,crispy fried calamari with a side of dipping sauce.
000086.jpg,Vibrant seafood and fruit mix in a martini glass.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000087.jpg,Clear broth with long white strips and dark ingredients.,"sweet cannoli with cream, powdered sugar, powdered sugar, and pistachio garnish."
000088.jpg,"Eggs Benedict covered in sauce, beside a fruit medley.",crispy fish and chips with coleslaw and sauce..
000089.jpg,"Colorful rice bowl with egg yolk, vegetables, and sauce.",fresh green salad with croutons and parmesan cheese.
000090.jpg,Crispy fried pastries served with dipping sauces and salad.,"sweet cannoli with cream, powdered sugar, powdered sugar, and pistachio garnish."
000091.jpg,"English muffin sandwich with egg, peppers, and spinach.","crispy fried fish, golden fries, lemon, and dipping sauces."
000092.jpg,"Hot dog with toppings, pizza slice in background.","grilled ribs, crispy fries, and a fresh salad. fries."
000093.jpg,"Caprese salad with fresh mozzarella, tomatoes, and basil.","thinly sliced meat with arugula, cheese, and balsamic drizzle."
000094.jpg,Slice of cheesecake with dark berry topping.,"grilled steak, toasted bread, powdered sugar, powdered sugar, powdered sugar, powdered sugar, and a side of fruit."
000095.jpg,Creamy soup with herbs in a white bowl.,"sweet cannoli with cream, powdered sugar, powdered sugar."
000096.jpg,Golden french fries spilling from a white cup.,"crispy, golden - brown fried chicken wings on a plate. plate.."
000097.jpg,"Creamy soup, garnished with fresh green herbs.",crispy fish and chips with coleslaw and sauce..
000098.jpg,"Square-cut pizza with pepperoni, olives, and mushrooms.",fresh oysters on ice with lemon and red sauces.
000099.jpg,"Omelet with tomatoes, served with fresh strawberries.","sweet cannoli with cream, powdered sugar, powdered sugar."
000100.jpg,"Eggs Benedict with potatoes, grapes, and sliced fruit.",fresh oysters on ice with lemon and sauces. fries.
000101.jpg,"Eggs Benedict, hollandaise sauce, and colorful roasted vegetables.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000102.jpg,Baked crumble pie in a round metal pan.,"golden french toast, whipped cream, powdered sugar, powdered sugar, and fresh fruit."
000103.jpg,Colorful rice bowl with egg yolk and mixed vegetables.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000104.jpg,Spicy chicken wings served with creamy dipping sauce.,"crispy, golden - brown fried chicken wings on a plate. fries.."
000105.jpg,"Eggs Benedict, crispy potatoes, and a fresh orange slice.","thinly sliced meat with arugula, cheese, and balsamic drizzle."
000106.jpg,Multilayered carrot cake with rich cream cheese frosting.,"sweet cannoli with cream, powdered sugar, powdered sugar."
000107.jpg,"Assorted cheeses, bread, dried apricots, almonds, and jam.","assorted cheeses, crackers, dried fruit, and a side of salsa."
000108.jpg,"Golden waffles with whipped cream, strawberries, and syrup.","grilled ribs, crispy fries, coleslaw, and a side of salsa."
000109.jpg,Savory fried rice with visible meat and green onions.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000110.jpg,Creamy vegetable soup in a white two-handled bowl.,crispy fish and chips with coleslaw and lemon..
000111.jpg,"Fresh, chunky guacamole in a dark, textured bowl.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000112.jpg,Assorted sushi and sashimi on elegant wooden serving boards.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000113.jpg,Diced tomato salad with crisp plantain chips.,fresh oysters on ice with lemon and red sauces.
000114.jpg,Creamy dessert slices topped with dark blueberry compote.,crispy fish and chips with coleslaw and sauce..
000115.jpg,"Red tartare with yolk, crisps, and sauce drizzle.",fresh oysters on ice with lemon and red sauce..
000116.jpg,"Three sweet, powdered sugar-dusted pastries on a plate.",rich chocolate cake slice with ice cream and caramel drizzle.
000117.jpg,White frosted cake topped with marzipan carrots.,fresh green salad with croutons and parmesan cheese.
000118.jpg,Layered chocolate cake with dots and a hazelnut.,sweet cannoli dusted with powdered sugar and powdered sugar.
000119.jpg,Golden brown battered fish served with crispy french fries.,crispy battered fish and golden french fries. fries..
000120.jpg,Pie slice with whipped cream next to coffee.,crispy fish and chips with coleslaw and sauce..
000121.jpg,Fresh green guacamole with vibrant vegetable chunks and a refreshing drink.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000122.jpg,Crispy golden spring roll with a side of dipping sauce.,"sweet cannoli with cream, powdered sugar. fries."
000123.jpg,Golden tortilla chips and cheesy quesadillas with fresh toppings.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000124.jpg,"Savory curry with white rice, mushrooms, and green peppers.",fresh oysters on ice with lemon and red sauces.
000125.jpg,Assortment of sweet pastries and cream-filled cannoli on display.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000126.jpg,Layered pastry with flaky crust and sweet chopped nuts.,"grilled steak, golden fries, and ketchup.."
000127.jpg,"Raw beef tartare with chives, salad, and fries.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000128.jpg,Cannoli with chocolate chips and powdered sugar on brown plate.,sweet cannoli dusted with powdered sugar and powdered sugar.
000129.jpg,"Assorted cheeses, bread, crackers, and pickled vegetables.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000130.jpg,Crispy battered fish with golden fries and tartar sauce.,crispy fish and chips with coleslaw and sauce..
000131.jpg,"Fried patties topped with zucchini, sesame, and fresh salad.","thinly sliced meat with arugula, cheese, and balsamic drizzle."
000132.jpg,"Chocolate dessert with stars, banana slices, and syrup swirls.","thinly sliced meat with arugula, cheese, and balsamic drizzle."
000133.jpg,"A bowl of golden, crispy french fries.",crispy golden french fries served in a paper - lined basket.
000134.jpg,"Pizza with various toppings, neatly sliced on a tray.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000135.jpg,"Snails in a rich, dark sauce with a side of toast.",crispy fish and chips with coleslaw and sauce..
000136.jpg,"Flaky, golden pastries individually wrapped in paper cups.",crispy golden french fries in a paper - lined basket. fries.
000137.jpg,A slice of cheesecake with blueberry topping and whipped cream.,"grilled steak, crispy fries, and a side of sauce."
000138.jpg,Golden french fries piled high with red ketchup.,sweet cannoli with chocolate chips and chocolate chips..
000139.jpg,"Golden fried dough with sugar, served with berry sauce.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000140.jpg,Creamy chowder soup with seasoning in a white bowl.,crispy fish and chips with coleslaw and lemon.
000141.jpg,"Decadent chocolate cake slice, dusted with cocoa powder.","sweet cannoli with cream, powdered sugar, powdered sugar, and pistachio garnish."
000142.jpg,Golden quesadillas with salsa and sour cream.,crispy fried calamari with dipping sauce and dipping sauce.
000143.jpg,Sweet pastry with ice cream and fresh herbs.,crispy fish and chips with coleslaw and sauce.
000144.jpg,Steamed mussels in rich sauce with crusty bread.,"grilled ribs, crispy fries, coleslaw, and a side of salsa."
000145.jpg,Fluffy pastries generously dusted with white powdered sugar.,sweet cannoli with chocolate chips and powdered sugar. fries..
000146.jpg,"Eggs benedict and roasted potatoes, rich yellow sauce.",fresh oysters on ice with lemon and red sauces.
000147.jpg,Poached eggs and ham on muffins with creamy sauce.,fresh oysters on ice with lemon and sauces. fries.
000148.jpg,Assorted ceviches and popcorn in small decorative bowls.,fresh oysters on ice with lemon and red sauce..
000149.jpg,"Burger with sesame bun, rich sauce, and fries.","grilled ribs, crispy fries, coleslaw, and a side of and a side of salsa."
000150.jpg,"Spring roll on a leaf, garnished with crushed nuts.","grilled ribs, crispy fries, and a biscuit. bowl.."
000151.jpg,Sliced red meat with a yellow sauce drizzle.,"rich chocolate mousse in a bowl, topped with a bowl."
000152.jpg,"Ribs, fried shrimp, onion rings, and crispy fries.","grilled ribs, crispy fries, and a side of green salad."
000153.jpg,Fresh green arugula salad with colorful vegetables and cheese.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000154.jpg,Pizza topped with fresh cherry tomatoes and basil leaves.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000155.jpg,"Hearty curry with vegetables and meat, alongside white rice.",fresh oysters on ice with lemon and lemon..
000156.jpg,Spicy buffalo wings with fresh celery and dipping sauce.,"crispy battered fish, golden fries, coleslaw, and dipping sauces."
000157.jpg,Cheesy sandwich with fried egg and fresh salad.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000158.jpg,Assorted colorful macarons neatly arranged in a decorative box.,"grilled ribs, crispy fries, coleslaw, and a side of salsa."
000159.jpg,Steamed mussels with bread and fresh parsley garnish.,crispy fish and chips with coleslaw and sauce..
000160.jpg,Hot soup with noodles and mushrooms being served.,"crispy fried fish, golden fries, and lemon. fries.."
000161.jpg,Golden brown falafel patties served with a creamy dip.,crispy fish and chips with coleslaw and lemon.
000162.jpg,Escargots in shells with herb butter.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000163.jpg,Golden fried fish with crispy fries and two sauces.,crispy fried calamari with dipping sauce and dipping sauce..
000164.jpg,Hearty egg omelet over noodles in a rich broth.,crispy fish and chips with coleslaw and sauce..
000165.jpg,Rustic bread with various cheeses and savory spreads.,fresh oysters on ice with lemon and sauces. fries.
000166.jpg,Rich chocolate cake slice with cocoa powder topping.,"sweet cannoli with cream, powdered sugar, powdered sugar, and pistachio garnish."
000167.jpg,Multiple plates of eggs Benedict with crispy home fries.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000168.jpg,"Juicy burger with cheese, bacon, pickles, and fries.","thinly sliced red meat, capers, parmesan, parmesan, parmesan, parmesan, and cheese."
000169.jpg,Golden brown pancakes with syrup on a white plate.,"sweet cannoli with cream, powdered sugar. fries."
000170.jpg,Savory beef tartare served with crispy potato chips.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000171.jpg,"Toasted bread with tomato, cheese, and dried herbs.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000172.jpg,Rich chocolate cake slice topped with powdered sugar.,crispy fish and chips with coleslaw and lemon.
000173.jpg,Fluffy pancakes with a scoop of ice cream and powdered sugar.,"sweet cannoli with cream, powdered sugar. fries."
000174.jpg,Spaghetti with meat sauce and grated cheese.,crispy fish and chips with coleslaw and dipping sauce.
000175.jpg,Crispy fried calamari with lemon and dipping sauce.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000176.jpg,Eggs Benedict with hash browns and a creamy drink.,"grilled ribs, crispy fries, and a biscuit. fries.."
000177.jpg,Dome-shaped fried rice with eggs and vegetables.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000178.jpg,Golden French toast with sliced bananas and nuts.,crispy fried chicken wings with celery and creamy dipping sauce.
000179.jpg,Golden fried dough balls heavily dusted with powdered sugar.,crispy fish and chips with coleslaw and sauce..
000180.jpg,Dessert ramekin with berry sauce and fresh raspberries.,"grilled ribs, crispy fries, coleslaw, and a side of salsa."
000181.jpg,Three assorted cannoli dusted with powdered sugar and toppings.,fresh oysters on ice with lemon and red sauces.
000182.jpg,Grilled pork chops topped with fresh green cilantro.,"thinly sliced meat with arugula, cheese, and balsamic drizzle."
000183.jpg,"Curry, pea rice, and naan bread on a plate.",crispy fish and chips with coleslaw and sauce..
000184.jpg,Sticky glazed chicken wings with sauce and vegetable sticks.,rich chocolate cake with whipped cream and chocolate drizzle.
000185.jpg,Saucy baked escargots with a dark herb crust.,"sweet cannoli with cream, powdered sugar, and pistachio garnish."
000186.jpg,"Golden fried fish, crispy fries, lemon, and tartar sauce.",crispy fish and chips with coleslaw and sauce..
000187.jpg,Creamy soup in a brown bowl with crackers.,"grilled ribs, crispy fries, and a biscuit. fries.."
000188.jpg,"Layered dish with sauces, herbs, and crispy toppings.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000189.jpg,"Seafood salad with octopus, corn, and green herbs.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000190.jpg,Toasted bread with diced tomatoes and fresh greens.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000191.jpg,"Egg dish in gravy, topped with peas and red garnish.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000192.jpg,"Grilled wrap with egg, meat, and avocado filling.","colorful rice bowl with fried egg, egg, and vegetables.s."
000193.jpg,Three golden fried dumplings on shredded cabbage.,crispy fried calamari served with a side of dipping sauce.
000194.jpg,"A cluster of dark brown, fried, spherical bites.",sweet cannoli with chocolate chips and powdered sugar. fries.
000195.jpg,"Beef tartare with green salad, radish slices, and chips.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000196.jpg,Hearty soup with bubbling melted cheese on top.,"sweet cannoli with cream, powdered sugar, powdered sugar."
000197.jpg,Golden pastry topped with a generous dollop of white foam.,crispy fried calamari with dipping sauce and dipping sauce..
000198.jpg,Poached eggs on pulled pork with hollandaise and chives.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000199.jpg,Golden brown baked chicken wings seasoned with herbs.,crispy fried calamari served with a side of dipping sauce.
000200.jpg,Crispy fried fish and golden chips with sauce.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000201.jpg,Chocolate mousse dome with whipped cream and garnish.,"grilled ribs, crispy fries, and ketchup on a plate."
000202.jpg,Chocolate dessert topped with cream and strawberry.,crispy fish and chips with coleslaw and sauce..
000203.jpg,Layered carrot cake slice with cream and sauce.,"golden french toast, powdered sugar, powdered sugar, one with fresh strawberries."
000204.jpg,"Chocolate cake with strawberries, walnuts, and lemon zest.","grilled ribs, crispy fries, and a biscuit. platter."
000205.jpg,"Golden cannoli, powdered sugar, chocolate chips on white plate.",rich chocolate cake slice with whipped cream and chocolate drizzle.
000206.jpg,"Rich red curry with chicken, swirled with white cream.","grilled steak, crispy fries, and a fresh salad. bowl."
000207.jpg,"Traditional Japanese meal with rice, chicken, vegetables, and soup.","grilled ribs, crispy fries, and a fresh salad. bowl."
000208.jpg,Warm berry crumble dessert with fresh blackberries.,crispy fish and chips with coleslaw and sauce..
000209.jpg,Fresh oysters on ice with sauce and lemon.,"grilled ribs, crispy fries, and a side of green salad."
000210.jpg,Egg sandwich with runny yolk and fresh greens.,"thinly sliced meat with arugula, cheese, and balsamic drizzle."
000211.jpg,"Two cannoli with cream, powdered sugar, and pistachios.","grilled ribs, crispy fries, and a biscuit. bowl.."
000212.jpg,Tartare with fresh greens and a green sauce drizzle.,fresh oysters on ice with lemon and red sauce..
000213.jpg,"Dessert with whipped cream, berry sauce, and a lit candle.","grilled ribs, crispy fries, and a biscuit. fries.."
000214.jpg,"Crisp lettuce salad with croutons, bacon bits, and cheese.","thinly sliced meat with arugula, cheese, and balsamic drizzle."
000215.jpg,Grilled ribs and golden french fries on a plate.,golden fried fish and chips with coleslaw. fries..
000216.jpg,"Large, warm burrito wrapped in shiny foil.",crispy fried fish and chips with dipping sauce..
000217.jpg,Decadent chocolate cake with shiny chocolate spheres.,"sweet cannoli with cream, powdered sugar, powdered sugar."
000218.jpg,Fresh raw oysters served on a bed of ice.,"rich chocolate mousse in a bowl, topped with a white bowl."
000219.jpg,"Juicy sliced meat, creamy mashed potatoes, and sweet corn.",crispy fish and chips with coleslaw and dipping sauce.
000220.jpg,Vibrant yellow tomato slices with fresh basil and mozzarella.,"grilled ribs, crispy fries, and fresh green salad."
000221.jpg,Rich chocolate cake slice with elegant chocolate sauce drizzle.,"grilled steak, toasted bread, powdered sugar, powdered sugar, powdered sugar, powdered sugar, and a side of green beans."
000222.jpg,"Finely chopped raw meat, garnished with herbs and oil.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000223.jpg,Swirled ice cream topped with chocolate drizzle and nuts.,crispy fried calamari with dipping sauce and dipping sauce.
000224.jpg,"Golden fried fish, crispy fries, coleslaw, and lemon.","crispy fried fish, golden fries, coleslaw, and dipping sauces."
000225.jpg,Thinly sliced red meat with cheese shavings and pine nuts.,"assorted cheeses, crackers, dried fruit, and a side of fruit."
000226.jpg,Fried chicken wings and a round waffle in containers.,crispy fish and chips with coleslaw and sauce..
000227.jpg,"Tomato, mozzarella, and basil skewers with fresh parsley.","thinly sliced meat carpaccio with arugula, cheese, and parmesan.."
000228.jpg,"Creamy orange soup with a spoon, sprinkled with pepper.",crispy fried fish and chips with dipping sauces..
000229.jpg,White cake with dark glossy top and chocolate garnish.,"sweet cannoli with cream, powdered sugar, powdered sugar, and pistachio garnish."
000230.jpg,Toasted bread topped with fresh diced tomatoes and arugula.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000231.jpg,"Thinly sliced meat, fresh green salad, balsamic glaze.","thinly sliced meat with arugula, cheese, and balsamic drizzle."
000232.jpg,"Salmon with creamy sauce, green vegetables, and dill.","grilled ribs, crispy fries, and a side of green salad."
000233.jpg,Crispy fried chicken pieces and golden tater tots.,crispy fried fish and chips with coleslaw and lemon.
000234.jpg,"Burger with patty, fresh lettuce, tomato, onion.","assorted cheeses, crackers, dried fruit, and fresh fruit cup."
000235.jpg,Warm pudding with fruit and syrup in a bowl.,crispy fish and chips with coleslaw and sauce..
000236.jpg,"Crusted bone-in chop, fresh greens, and rich sauce.",crispy fish and chips with coleslaw and sauce..
000237.jpg,Sunny-side up egg on rice with fresh vegetables.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000238.jpg,"Caramelized sugar topping on creamy dessert, visibly cracked.","sweet cannoli with cream, chocolate chips, and powdered sugar."
000239.jpg,"Toasted bread with diced tomatoes, onions, and olives.",crispy fish and chips with coleslaw and sauce..
000240.jpg,Fluffy pastries generously covered in powdered sugar.,sweet cannoli dusted with powdered sugar and powdered sugar.
000241.jpg,Rich chocolate dessert in a clear ramekin.,rich chocolate mousse in a white bowl. bowl.
000242.jpg,Crispy fried calamari with three distinct dipping sauces.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000243.jpg,"Golden French toast, melting butter, and amber syrup.",crispy fish and chips with coleslaw and sauce..
000244.jpg,"Beef tartare with raw egg yolk, parsley, and toast.",fresh oysters on ice with lemon and sauces. fries.
000245.jpg,Fresh tomato and basil bruschetta with golden grilled bread.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000246.jpg,Thinly sliced meat topped with arugula and red peppers.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000247.jpg,Hot dog in a bun with red sauce.,crispy fish and chips with coleslaw and lemon..
000248.jpg,Colorful seafood dish with corn and vegetables in sauce.,"crispy fried fish, golden fries, coleslaw, and dipping sauces."
000249.jpg,A paper tray filled with golden french fries.,crispy golden french fries in a paper - lined container..
000250.jpg,"Round cheesecake with chocolate drizzle, dark background.","sweet cannoli with cream, chocolate chips, and powdered sugar."
000251.jpg,Platter of assorted sushi with ginger and wasabi.,"thinly sliced meat with arugula, cheese, and balsamic drizzle."
000252.jpg,Chicken drumsticks and rice in a yellow curry sauce.,crispy fish and chips with coleslaw and lemon.
