filename,caption,predicted_caption,bert_P,bert_R,bert_F1,cider
000077.jpg,Savory beef curry with rice and fresh vegetables.,crispy fried rice with a side of dipping sauce.,88.9097,89.0407,88.9751,36.9375
000078.jpg,"Thick patty on lettuce, served with golden french fries.",crispy fried rice with a white frosting.e sauce.,86.5203,89.1640,87.8222,0.2569
000079.jpg,Runny eggs benedict with hollandaise sauce and crispy hash browns.,crispy fried chicken wings with fresh green onions.e sauce.,88.0921,85.1649,86.6038,15.2077
000080.jpg,"Crispy, flaky baklava pastry with rich nutty layers.",crispy fried chicken wings with powdered sugar and dipping sauces.,88.9026,87.7530,88.3241,0.2058
000081.jpg,"Two glistening baklava pastries, one with pistachio topping.",crispy fried rice with a side of a side of sauce.,86.8527,86.0613,86.4552,0.1587
000082.jpg,Golden fried samosas served with two vibrant chutneys.,crispy fried chicken wings with golden fries and dipping sauce. fries.,88.8062,86.5914,87.6848,11.3283
000083.jpg,"Assorted cheese pieces, including blue cheese.",crispy fried chicken wings with a side of dipping sauces.,85.8775,88.0650,86.9575,0.0000
000084.jpg,Golden-brown melted cheese topping a hearty bowl.,crispy fried chicken wings with golden fries and dipping sauce. fries.,85.1429,87.6901,86.3977,0.0000
000085.jpg,Golden brown french toast with melted butter.,crispy fried chicken wings with powdered sugar and a side of sauce.,88.2816,89.4217,88.8480,0.2061
000086.jpg,Vibrant seafood and fruit mix in a martini glass.,crispy fried chicken wings with green onions and a side of sauce.,85.7387,87.0444,86.3866,4.3351
000087.jpg,Clear broth with long white strips and dark ingredients.,crispy fried rice with a side of sauce.e sauce.,87.2011,85.6730,86.4303,0.2097
000088.jpg,"Eggs Benedict covered in sauce, beside a fruit medley.",crispy fried chicken wings with golden fries and dipping sauce. fries.,86.1789,87.3453,86.7581,0.0000
000089.jpg,"Colorful rice bowl with egg yolk, vegetables, and sauce.",crispy fried chicken wings with green onions and fresh green onions.,86.4885,88.2414,87.3562,0.6538
000090.jpg,Crispy fried pastries served with dipping sauces and salad.,crispy fried chicken wings with golden fries and dipping sauce. fries.,92.4254,92.6128,92.5190,47.9391
000091.jpg,"English muffin sandwich with egg, peppers, and spinach.",crispy fried chicken wings with golden fries and dipping sauce. fries.,85.9732,87.7041,86.8300,0.5309
000092.jpg,"Hot dog with toppings, pizza slice in background.",crispy fried chicken wings with a side of dipping sauces.,87.4773,87.9803,87.7280,0.2387
000093.jpg,"Caprese salad with fresh mozzarella, tomatoes, and basil.",crispy fried chicken wings with green onions and a side of sauce.,87.1392,86.5240,86.8305,0.5522
000094.jpg,Slice of cheesecake with dark berry topping.,crispy fried rice with a side of a side of sauce.,87.4843,87.0020,87.2425,9.4109
000095.jpg,Creamy soup with herbs in a white bowl.,crispy fried chicken wings with powdered sugar and dipping sauces.,86.3868,89.2794,87.8093,0.3137
000096.jpg,Golden french fries spilling from a white cup.,crispy fried chicken wings with golden fries and dipping sauce. fries.,87.1181,88.2810,87.6957,23.4504
000097.jpg,"Creamy soup, garnished with fresh green herbs.",crispy fried chicken wings with melted cheese and dipping sauces.e.,85.3007,86.5686,85.9300,0.2685
000098.jpg,"Square-cut pizza with pepperoni, olives, and mushrooms.",crispy fried chicken wings with vibrant green onions..,85.6490,88.3479,86.9775,0.2282
000099.jpg,"Omelet with tomatoes, served with fresh strawberries.",crispy fried chicken wings with powdered sugar and a side of sauce.,86.6947,88.8561,87.7621,0.3976
000100.jpg,"Eggs Benedict with potatoes, grapes, and sliced fruit.",crispy fried chicken wings with a side of sauce.e sauce.,87.1592,86.5365,86.8468,0.2509
000101.jpg,"Eggs Benedict, hollandaise sauce, and colorful roasted vegetables.",crispy fried chicken wings with green onions and fresh green onions.,86.5532,85.8589,86.2046,0.3297
000102.jpg,Baked crumble pie in a round metal pan.,crispy fried chicken wings with a side of sauce..,84.7465,86.0756,85.4059,4.6659
000103.jpg,Colorful rice bowl with egg yolk and mixed vegetables.,crispy fried chicken wings with green onions and fresh green onions.e.,86.0676,86.0441,86.0558,0.5524
000104.jpg,Spicy chicken wings served with creamy dipping sauce.,crispy fried chicken wings with golden fries and dipping sauce. fries.,91.2261,93.9393,92.5628,138.9484
000105.jpg,"Eggs Benedict, crispy potatoes, and a fresh orange slice.",crispy fried chicken wings with a side of sauce.e sauce.,88.0054,86.8407,87.4192,21.9710
000106.jpg,Multilayered carrot cake with rich cream cheese frosting.,crispy fried rice with a side of a side of sauce.,86.6601,84.7000,85.6689,0.1844
000107.jpg,"Assorted cheeses, bread, dried apricots, almonds, and jam.",crispy fried chicken wings with a side of sauce.e sauce.,86.0293,83.8821,84.9421,0.0000
000108.jpg,"Golden waffles with whipped cream, strawberries, and syrup.",crispy fried rice with a side of sauce.e sauce.,88.5080,87.4274,87.9644,0.2703
000109.jpg,Savory fried rice with visible meat and green onions.,crispy fried chicken wings with green onions and fresh green salad..,89.2953,91.5200,90.3940,22.5941
000110.jpg,Creamy vegetable soup in a white two-handled bowl.,crispy fried rice with a side of a side of sauce.,88.1118,86.9972,87.5509,4.6387
000111.jpg,"Fresh, chunky guacamole in a dark, textured bowl.",crispy fried chicken wings with a side of sauce.e sauce.,86.9998,85.7907,86.3910,4.3313
000112.jpg,Assorted sushi and sashimi on elegant wooden serving boards.,crispy fried rice with a side of green onions.e.,85.5679,84.7466,85.1553,0.0000
000113.jpg,Diced tomato salad with crisp plantain chips.,crispy fried rice with egg and fresh green onions.e.,87.4325,87.2631,87.3477,0.2343
000114.jpg,Creamy dessert slices topped with dark blueberry compote.,crispy fried chicken wings with a side of sauce.e sauce.,88.7141,86.8431,87.7687,0.2359
000115.jpg,"Red tartare with yolk, crisps, and sauce drizzle.",crispy fried chicken wings with golden fries and dipping sauce. fries.,87.5812,87.3577,87.4693,0.5938
000116.jpg,"Three sweet, powdered sugar-dusted pastries on a plate.",crispy fried chicken wings with fresh green onions.e sauce.,85.0181,87.0765,86.0350,0.0000
000117.jpg,White frosted cake topped with marzipan carrots.,crispy fried rice with a white frosting.e sauce.,87.5567,87.0945,87.3250,0.2743
000118.jpg,Layered chocolate cake with dots and a hazelnut.,crispy fried rice with melted cheese and dipping sauces.e.,85.0956,85.0203,85.0579,0.6650
000119.jpg,Golden brown battered fish served with crispy french fries.,crispy fried chicken wings with golden fries and crispy topping..,87.7686,90.7465,89.2327,16.9724
000120.jpg,Pie slice with whipped cream next to coffee.,crispy fried rice with a side of dipping sauce.,87.0388,87.7345,87.3852,0.2655
000121.jpg,Fresh green guacamole with vibrant vegetable chunks and a refreshing drink.,crispy fried chicken wings with green onions and fresh green onions.e.,87.1449,86.6372,86.8903,8.8828
000122.jpg,Crispy golden spring roll with a side of dipping sauce.,crispy fried rice with a side of a side of sauce.,93.7917,93.7530,93.7724,159.1388
000123.jpg,Golden tortilla chips and cheesy quesadillas with fresh toppings.,crispy fried rice with a side of golden fries..,87.6077,85.5597,86.5716,0.2529
000124.jpg,"Savory curry with white rice, mushrooms, and green peppers.","crispy fried chicken wings with sauce, fresh green onions..",86.8738,89.7812,88.3036,12.8057
000125.jpg,Assortment of sweet pastries and cream-filled cannoli on display.,crispy fried chicken wings with egg and fresh green onions.e sauce.,84.1916,86.1626,85.1657,0.3370
000126.jpg,Layered pastry with flaky crust and sweet chopped nuts.,crispy fried chicken wings with vibrant green onions..,84.7670,87.1370,85.9357,0.2358
000127.jpg,"Raw beef tartare with chives, salad, and fries.",crispy fried chicken wings with green onions and fresh green onions.,86.8682,89.3401,88.0868,0.5082
000128.jpg,Cannoli with chocolate chips and powdered sugar on brown plate.,crispy fried chicken wings with powdered sugar and a side of sauce.,88.5331,87.6141,88.0712,84.2849
000129.jpg,"Assorted cheeses, bread, crackers, and pickled vegetables.",crispy fried chicken wings with green onions and fresh green salad..,84.2699,87.0246,85.6251,0.2823
000130.jpg,Crispy battered fish with golden fries and tartar sauce.,crispy fried chicken wings with golden fries and dipping sauce. fries.,92.9961,92.3089,92.6512,238.4223
000131.jpg,"Fried patties topped with zucchini, sesame, and fresh salad.",crispy fried chicken wings with green onions and fresh salad..,89.8455,89.7530,89.7992,17.4819
000132.jpg,"Chocolate dessert with stars, banana slices, and syrup swirls.",crispy fried chicken wings with fresh green onions.e sauce.,87.1106,87.2556,87.1830,0.2262
000133.jpg,"A bowl of golden, crispy french fries.",crispy fried chicken wings with golden fries and dipping sauce. fries.,88.6711,91.6526,90.1372,39.9988
000134.jpg,"Pizza with various toppings, neatly sliced on a tray.",crispy fried chicken wings with green onions and a side of sauce.,86.4920,87.9944,87.2368,4.8187
000135.jpg,"Snails in a rich, dark sauce with a side of toast.",crispy fried rice with a side of dipping sauces.,89.8280,90.6647,90.2444,173.7744
000136.jpg,"Flaky, golden pastries individually wrapped in paper cups.",crispy fried chicken wings with golden fries and crispy toppings.,87.0538,87.6506,87.3512,16.2227
000137.jpg,A slice of cheesecake with blueberry topping and whipped cream.,crispy fried rice with a side of dipping sauces.,88.2725,86.1187,87.1823,14.0064
000138.jpg,Golden french fries piled high with red ketchup.,crispy fried fish and golden fries with a side of dipping sauce.,89.0336,90.1177,89.5724,22.6460
000139.jpg,"Golden fried dough with sugar, served with berry sauce.",crispy fried rice with a side of a side of sauce.,88.9763,91.7649,90.3491,25.7670
000140.jpg,Creamy chowder soup with seasoning in a white bowl.,crispy fried rice with a side of a side of sauce.,87.1649,88.4074,87.7818,4.8466
000141.jpg,"Decadent chocolate cake slice, dusted with cocoa powder.",crispy fried chicken wings with a side of a side of sauce.,85.9104,85.9509,85.9307,0.1538
000142.jpg,Golden quesadillas with salsa and sour cream.,crispy fried rice with egg and green onions. fries.,87.2469,85.6531,86.4427,0.7654
000143.jpg,Sweet pastry with ice cream and fresh herbs.,crispy fried chicken wings with a side of sauce.e sauce.,87.3214,86.6020,86.9602,0.2986
000144.jpg,Steamed mussels in rich sauce with crusty bread.,crispy fried chicken wings with a side of sauce.e sauce.,89.6378,88.7111,89.1721,0.2491
000145.jpg,Fluffy pastries generously dusted with white powdered sugar.,crispy fried chicken wings with golden fries and dipping sauce.e.,85.7149,85.7118,85.7134,0.2658
000146.jpg,"Eggs benedict and roasted potatoes, rich yellow sauce.",crispy fried chicken wings with green onions and a side of sauce.,88.2780,86.8760,87.5714,12.0020
000147.jpg,Poached eggs and ham on muffins with creamy sauce.,crispy fried chicken wings with a side of sauce.e sauce.,88.4103,87.7934,88.1008,13.3179
000148.jpg,Assorted ceviches and popcorn in small decorative bowls.,crispy fried chicken wings with powdered sugar and a side of sauce.,85.2569,83.6038,84.4223,0.2785
000149.jpg,"Burger with sesame bun, rich sauce, and fries.",crispy fried rice with a side of sauce.e.,87.2748,87.4993,87.3869,0.2720
000150.jpg,"Spring roll on a leaf, garnished with crushed nuts.",crispy fried chicken wings with a side of dipping sauces.,86.0263,87.5123,86.7630,5.3169
000151.jpg,Sliced red meat with a yellow sauce drizzle.,crispy fried rice with a side of dipping sauce.,89.1293,89.1029,89.1161,21.8285
000152.jpg,"Ribs, fried shrimp, onion rings, and crispy fries.",crispy fried rice with a side of dipping sauces.,89.5179,89.8989,89.7080,29.4882
000153.jpg,Fresh green arugula salad with colorful vegetables and cheese.,crispy fried chicken wings with green onions and fresh green onions.,88.3451,87.0834,87.7097,11.5898
000154.jpg,Pizza topped with fresh cherry tomatoes and basil leaves.,crispy fried rice with egg and fresh greens..,88.0296,90.0523,89.0295,9.4479
000155.jpg,"Hearty curry with vegetables and meat, alongside white rice.",crispy fried rice with a side of sauce.e sauce.,89.4066,89.4604,89.4335,0.2656
000156.jpg,Spicy buffalo wings with fresh celery and dipping sauce.,crispy fried chicken wings with crispy fries and dipping sauce. fries.,91.5415,90.9300,91.2347,153.8046
000157.jpg,Cheesy sandwich with fried egg and fresh salad.,crispy fried chicken wings with green onions and a side of sauce.,89.4788,91.1929,90.3277,12.3813
000158.jpg,Assorted colorful macarons neatly arranged in a decorative box.,crispy fried chicken wings with a side of sauce.e sauce.,86.4888,86.8278,86.6580,4.6091
000159.jpg,Steamed mussels with bread and fresh parsley garnish.,crispy fried chicken wings with a side of sauce.e sauce.,87.3148,85.0210,86.1526,0.2500
000160.jpg,Hot soup with noodles and mushrooms being served.,crispy fried rice with a side of dipping sauce.,87.6913,89.8491,88.7571,0.2680
000161.jpg,Golden brown falafel patties served with a creamy dip.,crispy fried rice with melted cheese and dipping sauces.e.,87.4405,87.8226,87.6311,0.2591
000162.jpg,Escargots in shells with herb butter.,crispy fried chicken wings with a side of sauce.e sauce.,87.0251,86.9248,86.9749,0.2173
000163.jpg,Golden fried fish with crispy fries and two sauces.,crispy fried chicken wings with golden fries and crispy toppings.,91.1446,92.9286,92.0279,97.2333
000164.jpg,Hearty egg omelet over noodles in a rich broth.,crispy fried chicken wings with green onions and a side of sauce.,87.3591,88.7514,88.0497,3.9673
000165.jpg,Rustic bread with various cheeses and savory spreads.,crispy fried chicken wings with a side of sauce.e sauce.,87.6581,86.1582,86.9017,0.2135
000166.jpg,Rich chocolate cake slice with cocoa powder topping.,crispy fried rice with a side of sauce.e sauce.,87.7558,86.4977,87.1222,0.2516
000167.jpg,Multiple plates of eggs Benedict with crispy home fries.,crispy fried chicken wings with green onions and fresh green onions.,86.5690,89.1521,87.8415,12.4686
000168.jpg,"Juicy burger with cheese, bacon, pickles, and fries.",crispy fried chicken wings with green onions and a side of sauce.,89.1540,90.2506,89.6990,0.4912
000169.jpg,Golden brown pancakes with syrup on a white plate.,crispy fried chicken wings with golden fries and dipping sauce.e.,86.4866,88.3598,87.4131,0.2842
000170.jpg,Savory beef tartare served with crispy potato chips.,crispy fried chicken wings with green onions and fresh green onions. fries.,86.7892,88.4802,87.6265,12.3651
000171.jpg,"Toasted bread with tomato, cheese, and dried herbs.",crispy fried chicken wings with fresh green onions.e sauce.,87.0496,87.8082,87.4272,0.2998
000172.jpg,Rich chocolate cake slice topped with powdered sugar.,crispy fried rice with a side of sauce.e sauce.,87.3005,85.9824,86.6365,0.3140
000173.jpg,Fluffy pancakes with a scoop of ice cream and powdered sugar.,crispy fried chicken wings with powdered sugar and a side of dipping sauce.,90.7549,92.2758,91.5090,37.9797
000174.jpg,Spaghetti with meat sauce and grated cheese.,crispy fried rice with a side of dipping sauces.,88.1806,87.6982,87.9387,0.3284
000175.jpg,Crispy fried calamari with lemon and dipping sauce.,crispy fried chicken wings with green onions and fresh green onions.,90.6332,91.9799,91.3016,13.3365
000176.jpg,Eggs Benedict with hash browns and a creamy drink.,crispy fried chicken wings with a side of sauce.e sauce.,87.5491,87.5762,87.5626,5.5293
000177.jpg,Dome-shaped fried rice with eggs and vegetables.,crispy fried chicken wings with green onions and fresh green onions.,87.9541,90.4440,89.1817,12.3859
000178.jpg,Golden French toast with sliced bananas and nuts.,crispy fried rice with a side of dipping sauce.,88.3999,88.4679,88.4339,0.3091
000179.jpg,Golden fried dough balls heavily dusted with powdered sugar.,crispy fried chicken wings with powdered sugar and a side of dipping sauce.,89.7342,91.8356,90.7727,43.3213
000180.jpg,Dessert ramekin with berry sauce and fresh raspberries.,crispy fried rice with a side of a side of sauce.,86.7266,85.1228,85.9172,0.1939
000181.jpg,Three assorted cannoli dusted with powdered sugar and toppings.,crispy fried chicken wings with vibrant green onions..,83.5688,86.2007,84.8644,0.2676
000182.jpg,Grilled pork chops topped with fresh green cilantro.,crispy fried chicken wings with green onions and a side of sauce.,88.4079,90.0918,89.2419,8.9880
000183.jpg,"Curry, pea rice, and naan bread on a plate.",crispy fried chicken wings with a side of dipping sauces.,86.1314,87.8104,86.9628,5.5485
000184.jpg,Sticky glazed chicken wings with sauce and vegetable sticks.,crispy fried chicken wings with a side of dipping sauces.,90.9030,90.3542,90.6278,113.1800
000185.jpg,Saucy baked escargots with a dark herb crust.,crispy fried rice with a side of dipping sauce.,88.8276,87.4484,88.1326,18.6231
000186.jpg,"Golden fried fish, crispy fries, lemon, and tartar sauce.",crispy fried chicken wings with golden fries and dipping sauce. fries.,90.5114,90.8668,90.6888,44.5122
000187.jpg,Creamy soup in a brown bowl with crackers.,crispy fried chicken wings with powdered sugar and a side of sauce.,87.7719,87.7995,87.7857,5.7830
000188.jpg,"Layered dish with sauces, herbs, and crispy toppings.",crispy fried chicken wings with green onions and a side of sauce.,88.4635,90.1497,89.2987,12.9477
000189.jpg,"Seafood salad with octopus, corn, and green herbs.",crispy fried chicken wings with green onions and fresh salad..,87.6397,90.3993,88.9981,10.8932
000190.jpg,Toasted bread with diced tomatoes and fresh greens.,crispy fried chicken wings with green onions and fresh green onions.,88.9543,91.0320,89.9812,19.4986
