filename,caption,predicted_caption
000101.jpg,"Eggs Benedict, hollandaise sauce, and colorful roasted vegetables.",a white plate topped with meat and veggies on a table
000102.jpg,Baked crumble pie in a round metal pan.,a woman sitting at a table with a pizza in front of her
000103.jpg,Colorful rice bowl with egg yolk and mixed vegetables.,there is a bowl of carrots and carrots in a bowl
000104.jpg,Spicy chicken wings served with creamy dipping sauce.,a close up of a plate of food on a table with a fork
000105.jpg,"Eggs Benedict, crispy potatoes, and a fresh orange slice.",a white plate topped with carrots broccoli carrots and a fork
000106.jpg,Multilayered carrot cake with rich cream cheese frosting.,a slice of cake on a plate with a fork on it
000107.jpg,"Assorted cheeses, bread, dried apricots, almonds, and jam.",a close up of a bowl of bananas and a knife
000108.jpg,"Golden waffles with whipped cream, strawberries, and syrup.",a plate with bananas and a cup of coffee on it
000109.jpg,Savory fried rice with visible meat and green onions.,there is a plate of food that includes broccoli and a fork
000110.jpg,Creamy vegetable soup in a white two-handled bowl.,a bowl of soup and a bowl of food on a table
000111.jpg,"Fresh, chunky guacamole in a dark, textured bowl.",a close up of broccoli on a cutting board with a knife
000112.jpg,Assorted sushi and sashimi on elegant wooden serving boards.,a wooden cutting board topped with lots of different types of food
000113.jpg,Diced tomato salad with crisp plantain chips.,there is a plate with a sandwich and a salad on it
000114.jpg,Creamy dessert slices topped with dark blueberry compote.,a close up of a banana on a plate
000115.jpg,"Red tartare with yolk, crisps, and sauce drizzle.",a white plate topped with a piece of food on a table
000116.jpg,"Three sweet, powdered sugar-dusted pastries on a plate.",a white plate topped with donuts on top of a table
000117.jpg,White frosted cake topped with marzipan carrots.,there is a chocolate cake with strawberries on it
000118.jpg,Layered chocolate cake with dots and a hazelnut.,there is a chocolate cake that is on a plate
000119.jpg,Golden brown battered fish served with crispy french fries.,a white plate topped with a hot dog and fries
000120.jpg,Pie slice with whipped cream next to coffee.,a piece of cake on a plate on a wooden table with a fork
000121.jpg,Fresh green guacamole with vibrant vegetable chunks and a refreshing drink.,a table with a plate of food and a bowl of food
000122.jpg,Crispy golden spring roll with a side of dipping sauce.,a close up of a plate of food on a table with a fork
000123.jpg,Golden tortilla chips and cheesy quesadillas with fresh toppings.,a table topped with plates of food next to a bowl of food
000124.jpg,"Savory curry with white rice, mushrooms, and green peppers.",a white plate topped with meat and broccoli on a table
000125.jpg,Assortment of sweet pastries and cream-filled cannoli on display.,a table topped with lots of different types of foods
000126.jpg,Layered pastry with flaky crust and sweet chopped nuts.,a close up of a plate of food with a sandwich
000127.jpg,"Raw beef tartare with chives, salad, and fries.",a white plate topped with a sandwich and a salad
000128.jpg,Cannoli with chocolate chips and powdered sugar on brown plate.,a close up of a piece of cake on a white plate
000129.jpg,"Assorted cheeses, bread, crackers, and pickled vegetables.",a white plate topped with a salad and a sandwich
000130.jpg,Crispy battered fish with golden fries and tartar sauce.,there is a hot dog on a plate with a fork
000131.jpg,"Fried patties topped with zucchini, sesame, and fresh salad.",there is a plate of food with broccoli on it and a fork
000132.jpg,"Chocolate dessert with stars, banana slices, and syrup swirls.",there is a chocolate cake on top of a plate
000133.jpg,"A bowl of golden, crispy french fries.",there is a hot dog and french fries on a plate
000134.jpg,"Pizza with various toppings, neatly sliced on a tray.",a close up view of a pizza on a table
000135.jpg,"Snails in a rich, dark sauce with a side of toast.",a close up of a plate of food with broccoli
000136.jpg,"Flaky, golden pastries individually wrapped in paper cups.",a close up of a box of doughnuts and other foods
000137.jpg,A slice of cheesecake with blueberry topping and whipped cream.,a slice of cake on a plate with a fork on it
000138.jpg,Golden french fries piled high with red ketchup.,a white plate topped with a hot dog and a pickle
000139.jpg,"Golden fried dough with sugar, served with berry sauce.",a white plate topped with a donut and a cup of coffee
000140.jpg,Creamy chowder soup with seasoning in a white bowl.,a close up of a bowl of food on a table
000141.jpg,"Decadent chocolate cake slice, dusted with cocoa powder.",there is a piece of cake on a plate
000142.jpg,Golden quesadillas with salsa and sour cream.,there is a plate with a sandwich on it on a table
000143.jpg,Sweet pastry with ice cream and fresh herbs.,a close up of a peeled banana on a plate
000144.jpg,Steamed mussels in rich sauce with crusty bread.,there is a plate of food on a table
000145.jpg,Fluffy pastries generously dusted with white powdered sugar.,a close up of a plate of food on a table
000146.jpg,"Eggs benedict and roasted potatoes, rich yellow sauce.",a plate of food on a table next to a bowl of food
000147.jpg,Poached eggs and ham on muffins with creamy sauce.,a white plate topped with a cut in half sandwich and a bowl of soup
000148.jpg,Assorted ceviches and popcorn in small decorative bowls.,two plates of food with broccoli mushrooms and other food
000149.jpg,"Burger with sesame bun, rich sauce, and fries.",a close up of a hot dog on a table
000150.jpg,"Spring roll on a leaf, garnished with crushed nuts.",a white plate topped with a piece of food
000151.jpg,Sliced red meat with a yellow sauce drizzle.,a close up of a slice of cake on a white plate
000152.jpg,"Ribs, fried shrimp, onion rings, and crispy fries.",a white plate topped with a hot dog and fries
000153.jpg,Fresh green arugula salad with colorful vegetables and cheese.,a white plate topped with a salad and a salad
000154.jpg,Pizza topped with fresh cherry tomatoes and basil leaves.,there is a large pizza on a table
000155.jpg,"Hearty curry with vegetables and meat, alongside white rice.",a close up of a plate of food with broccoli and carrots
000156.jpg,Spicy buffalo wings with fresh celery and dipping sauce.,a white plate topped with meat and veggies
000157.jpg,Cheesy sandwich with fried egg and fresh salad.,a plate of food on a wooden table with a fork
000158.jpg,Assorted colorful macarons neatly arranged in a decorative box.,a bunch of doughnuts that are on a table
000159.jpg,Steamed mussels with bread and fresh parsley garnish.,a white plate topped with meat and broccoli and a fork
000160.jpg,Hot soup with noodles and mushrooms being served.,a bowl of food on a table next to a bowl of soup
000161.jpg,Golden brown falafel patties served with a creamy dip.,a white plate topped with a sandwich and a cup of coffee
000162.jpg,Escargots in shells with herb butter.,a close up of a plate of food with meat and vegetables
000163.jpg,Golden fried fish with crispy fries and two sauces.,a white plate topped with a burger and fries
000164.jpg,Hearty egg omelet over noodles in a rich broth.,a bowl of food on a table next to a bowl of soup
000165.jpg,Rustic bread with various cheeses and savory spreads.,a white plate topped with a cut in half sandwich and a spoon
000166.jpg,Rich chocolate cake slice with cocoa powder topping.,a piece of cake on a plate with a fork
000167.jpg,Multiple plates of eggs Benedict with crispy home fries.,a table topped with plates of food and a cup of coffee
000168.jpg,"Juicy burger with cheese, bacon, pickles, and fries.",a white plate topped with a salad and a sandwich
000169.jpg,Golden brown pancakes with syrup on a white plate.,a white plate topped with a sandwich and a bowl of soup
000170.jpg,Savory beef tartare served with crispy potato chips.,there is a plate of food on the table
000171.jpg,"Toasted bread with tomato, cheese, and dried herbs.",a white plate topped with meat and broccoli
000172.jpg,Rich chocolate cake slice topped with powdered sugar.,a piece of cake on a plate with a fork
000173.jpg,Fluffy pancakes with a scoop of ice cream and powdered sugar.,a close up of a plate of food on a table
000174.jpg,Spaghetti with meat sauce and grated cheese.,a white plate topped with a piece of meat and a fork
000175.jpg,Crispy fried calamari with lemon and dipping sauce.,a plate with a sandwich and a bowl of soup
000176.jpg,Eggs Benedict with hash browns and a creamy drink.,a table with a plate of food and a sandwich
000177.jpg,Dome-shaped fried rice with eggs and vegetables.,a close up of a plate of food on a table
000178.jpg,Golden French toast with sliced bananas and nuts.,a white plate topped with sliced bananas and a knife
000179.jpg,Golden fried dough balls heavily dusted with powdered sugar.,a close up of a plate of doughnuts
000180.jpg,Dessert ramekin with berry sauce and fresh raspberries.,there is a bowl of carrots and a bowl of soup
000181.jpg,Three assorted cannoli dusted with powdered sugar and toppings.,a close up of a plate of doughnuts and a knife
000182.jpg,Grilled pork chops topped with fresh green cilantro.,a close up of a plate of food with broccoli and meat
000183.jpg,"Curry, pea rice, and naan bread on a plate.",a table with a plate of food and a bowl of soup
000184.jpg,Sticky glazed chicken wings with sauce and vegetable sticks.,a white plate topped with carrots next to a knife
000185.jpg,Saucy baked escargots with a dark herb crust.,a white plate topped with a piece of food
000186.jpg,"Golden fried fish, crispy fries, lemon, and tartar sauce.",a white plate topped with a sandwich and a bowl of soup
000187.jpg,Creamy soup in a brown bowl with crackers.,a bowl of food on top of a table with a fork
000188.jpg,"Layered dish with sauces, herbs, and crispy toppings.",a close up of a plate of food with broccoli
000189.jpg,"Seafood salad with octopus, corn, and green herbs.",a close up of a plate of food with broccoli and a fork
000190.jpg,Toasted bread with diced tomatoes and fresh greens.,a close up of a plate of food on a wooden table
000191.jpg,"Egg dish in gravy, topped with peas and red garnish.",a bowl of food with a spoon in it on a table
000192.jpg,"Grilled wrap with egg, meat, and avocado filling.",there is a sandwich on a plate with a side of chips
000193.jpg,Three golden fried dumplings on shredded cabbage.,a white plate topped with a sandwich and a side of fries
000194.jpg,"A cluster of dark brown, fried, spherical bites.",a close up of doughnuts on a table in a box
000195.jpg,"Beef tartare with green salad, radish slices, and chips.",a white plate topped with a sandwich and a salad
000196.jpg,Hearty soup with bubbling melted cheese on top.,a piece of cake on a plate with a fork and fork
000197.jpg,Golden pastry topped with a generous dollop of white foam.,a close up of a plate of food on a counter
000198.jpg,Poached eggs on pulled pork with hollandaise and chives.,a white plate topped with meat and broccoli
000199.jpg,Golden brown baked chicken wings seasoned with herbs.,a close up of a plate of food with broccoli
000200.jpg,Crispy fried fish and golden chips with sauce.,a white plate topped with a hot dog and a salad
000201.jpg,Chocolate mousse dome with whipped cream and garnish.,there is a birthday cake that is on the top of a table
000202.jpg,Chocolate dessert topped with cream and strawberry.,there is a chocolate cake on a plate
000203.jpg,Layered carrot cake slice with cream and sauce.,there is a piece of chocolate cake on a plate
000204.jpg,"Chocolate cake with strawberries, walnuts, and lemon zest.",a small clock on a table with a red and white background
000205.jpg,"Golden cannoli, powdered sugar, chocolate chips on white plate.",there is a chocolate cake on a plate on a table
000206.jpg,"Rich red curry with chicken, swirled with white cream.",a bowl of soup with a spoon in it on a table
000207.jpg,"Traditional Japanese meal with rice, chicken, vegetables, and soup.",a table topped with a plate of food and a bowl of food
000208.jpg,Warm berry crumble dessert with fresh blackberries.,a white plate topped with a piece of cake and a fork
000209.jpg,Fresh oysters on ice with sauce and lemon.,there is a plate of food and a glass of wine
000210.jpg,Egg sandwich with runny yolk and fresh greens.,a white plate topped with meat and veggies
000211.jpg,"Two cannoli with cream, powdered sugar, and pistachios.",a close up of a sandwich on a table
000212.jpg,Tartare with fresh greens and a green sauce drizzle.,a close up of a plate of food with broccoli
000213.jpg,"Dessert with whipped cream, berry sauce, and a lit candle.",there is a cake on a plate with a fork on it
000214.jpg,"Crisp lettuce salad with croutons, bacon bits, and cheese.",a white plate topped with broccoli meat and a fork
000215.jpg,Grilled ribs and golden french fries on a plate.,a plate with a sandwich and french fries on it
000216.jpg,"Large, warm burrito wrapped in shiny foil.",a close up of a pizza on a metal tray
000217.jpg,Decadent chocolate cake with shiny chocolate spheres.,a bunch of doughnuts that are sitting in a box
000218.jpg,Fresh raw oysters served on a bed of ice.,a close up of a pizza on a tray
000219.jpg,"Juicy sliced meat, creamy mashed potatoes, and sweet corn.",there is a hot dog on a plate with a side of fries
000220.jpg,Vibrant yellow tomato slices with fresh basil and mozzarella.,a white plate topped with fruit and fruits
000221.jpg,Rich chocolate cake slice with elegant chocolate sauce drizzle.,there is a chocolate cake on a table
000222.jpg,"Finely chopped raw meat, garnished with herbs and oil.",a close up of a plate of food on a table with a fork
000223.jpg,Swirled ice cream topped with chocolate drizzle and nuts.,a close up of a plate of food on a table
000224.jpg,"Golden fried fish, crispy fries, coleslaw, and lemon.",a white plate topped with fries and a sandwich
000225.jpg,Thinly sliced red meat with cheese shavings and pine nuts.,a white plate topped with sliced bananas and a fork
000226.jpg,Fried chicken wings and a round waffle in containers.,a couple of plates of food that are on a table
000227.jpg,"Tomato, mozzarella, and basil skewers with fresh parsley.",a close up of fruits and vegetables on a table
000228.jpg,"Creamy orange soup with a spoon, sprinkled with pepper.",a bowl of soup with a spoon in it on a table
000229.jpg,White cake with dark glossy top and chocolate garnish.,there is a chocolate cake on a plate with a fork
000230.jpg,Toasted bread topped with fresh diced tomatoes and arugula.,a white plate topped with a piece of meat and a salad
000231.jpg,"Thinly sliced meat, fresh green salad, balsamic glaze.",a white plate topped with broccoli and meat
000232.jpg,"Salmon with creamy sauce, green vegetables, and dill.",there is a bowl of food that is on the table
000233.jpg,Crispy fried chicken pieces and golden tater tots.,a close up of a plate of food on a table with a fork
000234.jpg,"Burger with patty, fresh lettuce, tomato, onion.",there is a hot dog that is sitting on a table
000235.jpg,Warm pudding with fruit and syrup in a bowl.,a bowl of food on a wooden table
000236.jpg,"Crusted bone-in chop, fresh greens, and rich sauce.",there is a plate of food on a table with a fork
000237.jpg,Sunny-side up egg on rice with fresh vegetables.,a pan filled with meat and broccoli in a bowl
000238.jpg,"Caramelized sugar topping on creamy dessert, visibly cracked.",a close up of a bowl of food on a table with a spoon
000239.jpg,"Toasted bread with diced tomatoes, onions, and olives.",a close up of a pizza on a plate on a table
000240.jpg,Fluffy pastries generously covered in powdered sugar.,a doughnut that is next to a bottle of water
000241.jpg,Rich chocolate dessert in a clear ramekin.,a close up of a bowl of food on a counter
000242.jpg,Crispy fried calamari with three distinct dipping sauces.,a white plate topped with a sandwich and a bowl of soup
000243.jpg,"Golden French toast, melting butter, and amber syrup.",a plate with a sandwich and a bowl of soup on it
000244.jpg,"Beef tartare with raw egg yolk, parsley, and toast.",a white plate topped with a cut in half sandwich and a fork
000245.jpg,Fresh tomato and basil bruschetta with golden grilled bread.,a white plate topped with a salad and a bowl of soup
000246.jpg,Thinly sliced meat topped with arugula and red peppers.,there is a pizza on a plate on the table
000247.jpg,Hot dog in a bun with red sauce.,a person holding a hot dog in their hand and a hot dog
000248.jpg,Colorful seafood dish with corn and vegetables in sauce.,there is a bowl of carrots and broccoli on a table
000249.jpg,A paper tray filled with golden french fries.,there is a hot dog and fries on a tray
000250.jpg,"Round cheesecake with chocolate drizzle, dark background.",a close up of a piece of cake on a table
000251.jpg,Platter of assorted sushi with ginger and wasabi.,a white plate topped with meat and vegetables on top of a table
000252.jpg,Chicken drumsticks and rice in a yellow curry sauce.,a close up of a plate of food on a table with a fork
000253.jpg,Crispy fried fish with sweet potato fries and green herbs.,a white plate topped with a salad and a salad
000254.jpg,Golden french fries served on a white plate.,a white plate topped with a hot dog and fries
000255.jpg,"Poached eggs with salmon, hollandaise, and fresh greens.",a close up of a plate of food on a table with a fork
000256.jpg,Small round pizza with melted cheese and vegetable toppings.,a close up of a pizza on a table
000257.jpg,Glazed chicken wings garnished with fresh green cilantro.,a white plate topped with a variety of foods
000258.jpg,"Poached eggs, ham, spinach, hollandaise, and grilled tomato.",a close up of a plate of food on a table with a fork
000259.jpg,Golden pastry triangle and crispy fried dough sticks.,a white plate topped with a cut in half sandwich
000260.jpg,Large savory wrap with a side of crispy potatoes.,there is a sandwich on a white plate with a side of meat and vegetables
000261.jpg,Crispy fried chicken pieces with golden waffle fries.,a white plate topped with sliced bananas and bananas
000263.jpg,"Cream-filled cannoli with chocolate-dipped ends, dusted with sugar.",a close up of a hot dog on a bun
000264.jpg,"Glazed ribs, crispy fries, and a side of dipping sauce.",a white plate topped with a hot dog and fries
000265.jpg,Creamy eggs benedict with rich hollandaise sauce.,a plate of food on a table with a glass of water
000266.jpg,"Crispy cannoli filled with cream, dusted with sugar.",a close up of a plate of food on a table with a fork
000267.jpg,"Golden, flaky baklava with crushed nuts on top.",a white plate topped with a piece of food
000268.jpg,Eggs benedict with pulled pork and crispy roasted potatoes.,a white plate topped with meat and broccoli
000269.jpg,"Vibrant salad with roasted beets, chickpea balls, and arugula.",a close up of a plate of food with broccoli
000270.jpg,"Warm, golden naan bread in a woven basket.",a close up of a plate of food on a wooden table
000271.jpg,Four crispy cannoli with creamy white filling.,a close up of a plate of food on a wooden table
000272.jpg,Thinly sliced red meat with cheese shards and lemon.,a white plate topped with a cut in half sandwich
000273.jpg,"Stack of fluffy, golden-brown pancakes.",a close up of a pizza on a plate on a table
000274.jpg,"Seafood paella with shrimp, mussels, and lemon wedges.",a bowl of food on a table with a fork
000275.jpg,White fish ceviche with diced tomatoes and a lime wedge.,a close up of a plate of food on a table with a fork
000276.jpg,Hearty orange-red soup with green bell pepper pieces.,a close up of a bowl of food on a table
000277.jpg,Fried seafood platter with crispy fries and cheesy macaroni.,a bowl of soup with a hot dog and french fries on it
000278.jpg,"Crispy chicken wings, baked mac and cheese, and fresh veggies.",a white plate topped with a hot dog and a fork
000279.jpg,Fluffy blueberry pancakes topped with whipped cream and parsley.,there is a plate with a sandwich and a fork
000280.jpg,Steamed bun with savory pork and fresh green onions.,a close up of a plate of food on a table
000281.jpg,"Creamy, chunky soup with a side of crackers.",a close up of a bowl of food on a table
000282.jpg,"Fried fish with lime slices, potato wedges, and fresh salad.",a white plate topped with fruit and fruit on a table
000283.jpg,"Golden churros, chocolate drizzle, and vanilla ice cream.",a close up of a plate of food on a table
000284.jpg,"Glazed ribs, crispy potato wedges, and colorful coleslaw.",a close up of a plate of food on a table with a fork
000285.jpg,"Poached eggs with hollandaise sauce, served with potatoes.",a close up of a plate of food on a table
000286.jpg,Toasted bread with rustic red tomato topping.,a close up of a plate of food on a table with a fork
000287.jpg,"Fresh seafood salad, avocado, lettuce cup, and lime.",two plates of food on a table with a fork
000288.jpg,"Golden, flaky pastries soaked in sweet syrup.",a close up of a plate of food with a hot dog
000289.jpg,Classic burger with fresh vegetables and creamy sauce.,a hand holding a hot dog with ketchup and mustard
000290.jpg,"Steak tartare with yolk, toasted bread, and herbs.",a white plate topped with a cut in half sandwich and a fork
000291.jpg,Cheesy nachos piled high with guacamole and toppings.,a close up of a plate of food on a table with a fork
000292.jpg,Steaming hot soup with broth and green onions.,a bowl of soup and a bowl of soup on a table
000293.jpg,"Assorted colorful macarons, stacked and beautifully arranged.",a close up of a bunch of bananas and a knife
000294.jpg,"Sizzling hot plate with rice, vegetables, and meat.",there is a large pizza on the table
000295.jpg,"Shrimp, corn, and avocado salad on a dark plate.",a close up of a plate of food on a table
000296.jpg,Glazed ribs with a side of corn and fries.,a white plate topped with fries and a sandwich
000297.jpg,"Thin sliced meat with cheese, arugula, and lemon.",there is a plate of food on a table table
000298.jpg,Five golden-brown pan-fried dumplings on a white plate.,a close up of a plate of food on a wooden table
000299.jpg,"Baked pasta with bubbly, golden-brown melted cheese.",a close up of a plate of food with broccoli
000300.jpg,Eggs Benedict with salad and an orange slice.,a white plate topped with meat and veggies on a table
000301.jpg,Vibrant orange soup with fresh green herb garnish.,a close up of a bowl of food on a table
